[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 09:04:27 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 3
Tue May 09 09:04:38 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 3
Tue May 09 09:04:49 2017	 173.00	 173.00	   3.00	   3.00	  21.20	  10.40	 5	 3
Tue May 09 09:04:59 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 3
Tue May 09 09:05:10 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 3
Tue May 09 09:05:20 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 3
Tue May 09 09:05:31 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 3
Tue May 09 09:05:42 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.50	 5	 3
Tue May 09 09:05:52 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 3
Tue May 09 09:06:03 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 4
Tue May 09 09:06:14 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 4
Tue May 09 09:06:24 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 4
Tue May 09 09:06:35 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 4
Tue May 09 09:06:45 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 4
Tue May 09 09:06:56 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.50	 5	 4
Tue May 09 09:07:07 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.30	 5	 4
Tue May 09 09:07:17 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 4
Tue May 09 09:07:28 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 5	 4
Tue May 09 09:07:39 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 4
Tue May 09 09:07:49 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 4
Tue May 09 09:08:00 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 4
Tue May 09 09:08:10 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 4
Tue May 09 09:08:21 2017	 173.00	 173.00	   3.00	   3.00	  21.30	  10.60	 5	 4
Tue May 09 09:08:32 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 4
Tue May 09 09:08:42 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 4
Tue May 09 09:08:53 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 5
Tue May 09 09:09:04 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.20	 5	 5
Tue May 09 09:09:14 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 5
Tue May 09 09:09:25 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 5
